Flow In,Flow Out,Efficiency,Longest Wait,Total Wait,0,1,2,3,4,5,6,7,8
33,33,100.0,0.0,0,33,33,13,13,20,20,20,33,0
55,55,100.0,0.0,0,55,55,13,13,42,42,42,55,0
35,35,100.0,0.0,0,35,35,9,9,26,26,26,35,0
53,52,98.113,9.057,240,53,52,12,12,40,40,40,52,0
43,43,100.0,0.0,0,43,43,11,11,32,32,32,43,0
54,44,81.481,137.968,3035,54,54,10,10,44,34,34,44,0
49,49,100.0,0.0,0,49,49,10,10,39,39,39,49,0
48,48,100.0,0.0,0,48,48,8,8,40,40,40,48,0
47,47,100.0,0.0,0,47,47,9,9,38,38,38,47,0
53,46,86.792,91.163,1960,53,53,10,10,43,36,36,46,0
40,40,100.0,0.0,0,40,40,6,6,34,34,34,40,0
47,47,100.0,0.0,0,47,47,9,9,38,38,38,47,0
49,41,83.673,104.242,2293,49,49,5,5,44,36,36,41,0
52,52,100.0,0.0,0,52,52,15,15,37,37,37,52,0
53,53,100.0,334.286,2340,53,53,14,2,39,39,39,41,12
48,43,89.583,66.857,1337,48,48,8,8,40,35,35,43,0
45,45,100.0,0.0,0,45,45,9,9,36,36,36,45,0
48,47,97.917,26.667,240,48,48,18,17,30,30,30,47,0
49,46,93.878,37.946,759,49,49,9,9,40,37,37,46,0
55,50,90.909,47.127,1296,55,55,13,13,42,42,42,50,0
54,52,96.296,43.636,732,54,54,11,7,43,41,41,48,4
43,43,100.0,0.0,0,43,43,6,6,37,37,37,43,0
54,54,100.0,0.0,0,54,54,15,15,39,39,39,54,0
59,48,81.356,139.73,3354,59,59,11,11,48,37,37,48,0
54,51,94.444,36.044,757,54,54,12,12,42,39,39,51,0
61,54,88.525,61.202,1867,61,54,10,10,44,44,44,54,0
51,51,100.0,0.0,0,51,51,13,13,38,38,38,51,0
54,54,100.0,0.0,0,54,54,15,15,39,39,39,54,0
55,53,96.364,25.281,493,55,55,16,16,39,37,37,53,0
38,38,100.0,0.0,0,38,38,10,10,28,28,28,38,0
49,49,100.0,0.0,0,49,49,6,6,43,43,43,49,0
50,46,92.0,53.451,1042,50,50,11,11,39,35,35,46,0
47,47,100.0,0.0,0,47,47,13,13,34,34,34,47,0
55,55,100.0,0.0,0,55,55,12,12,43,43,43,55,0
42,39,92.857,43.714,765,42,42,7,7,35,32,32,39,0
51,51,100.0,0.0,0,51,51,12,12,39,39,39,51,0
41,41,100.0,0.0,0,41,41,16,16,25,25,25,41,0
55,55,100.0,0.0,0,55,55,13,13,42,42,42,55,0
51,51,100.0,0.0,0,51,51,16,16,35,35,35,51,0
50,41,82.0,135.871,2717,50,50,10,10,40,31,31,41,0
52,52,100.0,0.0,0,52,52,12,12,40,40,40,52,0
56,56,100.0,68.923,517,56,56,15,7,41,41,41,48,8
49,49,100.0,0.0,0,49,49,11,11,38,38,38,49,0
47,47,100.0,0.0,0,47,47,9,9,38,38,38,47,0
50,50,100.0,0.0,0,50,50,13,13,37,37,37,50,0
47,47,100.0,0.0,0,47,47,12,12,35,35,35,47,0
43,43,100.0,0.0,0,43,43,14,14,29,29,29,43,0
63,59,93.651,32.026,1009,63,59,16,16,43,43,43,59,0
53,53,100.0,0.0,0,53,53,12,12,41,41,41,53,0
61,61,100.0,129.524,1166,61,61,18,4,43,43,43,47,14
53,53,100.0,0.0,0,53,53,13,13,40,40,40,53,0
49,49,100.0,112.0,840,49,49,15,4,34,34,34,38,11
41,39,95.122,27.451,494,41,41,5,5,36,34,34,39,0
56,51,91.071,196.218,2494,56,51,16,4,35,35,35,39,12
41,39,95.122,28.26,495,41,41,6,6,35,33,33,39,0
62,59,95.161,96.807,1577,62,62,17,5,45,42,42,47,12
45,45,100.0,0.0,0,45,45,10,10,35,35,35,45,0
58,48,82.759,137.968,3035,58,58,14,14,44,34,34,48,0
52,52,100.0,0.0,0,52,52,15,15,37,37,37,52,0
48,48,100.0,204.545,1636,48,48,16,3,32,32,32,35,13
52,52,100.0,0.0,0,52,52,13,13,39,39,39,52,0
49,46,93.878,41.208,762,49,49,12,12,37,34,34,46,0
50,45,90.0,89.33,1385,50,50,19,19,31,26,26,45,0
43,43,100.0,0.0,0,43,43,5,5,38,38,38,43,0
36,36,100.0,0.0,0,36,36,10,10,26,26,26,36,0
52,49,94.231,36.97,758,52,52,11,11,41,38,38,49,0
52,41,78.846,166.267,3492,52,52,10,10,42,31,31,41,0
55,49,89.091,57.707,1587,55,49,8,8,41,41,41,49,0
53,44,83.019,155.556,3623,53,53,17,5,36,27,27,32,12
43,43,100.0,0.0,0,43,43,7,7,36,36,36,43,0
61,55,90.164,51.505,1571,61,55,10,10,45,45,45,55,0
44,44,100.0,0.0,0,44,44,10,10,34,34,34,44,0
50,50,100.0,0.0,0,50,50,10,10,40,40,40,50,0
53,42,79.245,156.364,3440,53,53,9,9,44,33,33,42,0
53,52,98.113,26.667,240,53,53,18,17,35,35,35,52,0
51,49,96.078,24.015,492,51,51,10,10,41,39,39,49,0
48,39,81.25,124.104,2668,48,48,5,5,43,34,34,39,0
50,50,100.0,0.0,0,50,50,17,17,33,33,33,50,0
47,47,100.0,0.0,0,47,47,12,12,35,35,35,47,0
42,42,100.0,0.0,0,42,42,6,6,36,36,36,42,0
49,49,100.0,246.417,2095,49,49,17,2,32,32,32,34,15
40,40,100.0,0.0,0,40,40,11,11,29,29,29,40,0
53,52,98.113,11.429,240,53,53,11,11,42,41,41,52,0
50,50,100.0,0.0,0,50,50,14,14,36,36,36,50,0
65,52,80.0,138.24,3554,65,60,14,14,46,38,38,52,0
57,50,87.719,84.281,1938,57,57,11,11,46,39,39,50,0
47,47,100.0,0.0,0,47,47,12,12,35,35,35,47,0
53,46,86.792,96.413,1976,53,53,12,12,41,34,34,46,0
41,41,100.0,0.0,0,41,41,15,15,26,26,26,41,0
50,50,100.0,0.0,0,50,50,9,9,41,41,41,50,0
56,56,100.0,96.807,823,56,56,17,5,39,39,39,44,12
47,47,100.0,0.0,0,47,47,10,10,37,37,37,47,0
43,43,100.0,0.0,0,43,43,10,10,33,33,33,43,0
58,54,93.103,36.893,986,58,55,12,12,43,42,42,54,0
53,52,98.113,25.263,240,53,53,19,18,34,34,34,52,0
56,56,100.0,0.0,0,56,56,14,14,42,42,42,56,0
57,57,100.0,204.545,1636,57,57,16,3,41,41,41,44,13
52,52,100.0,0.0,0,52,52,10,10,42,42,42,52,0
52,47,90.385,66.857,1337,52,52,12,12,40,35,35,47,0
43,43,100.0,0.0,0,43,43,8,8,35,35,35,43,0
49,49,100.0,0.0,0,49,49,7,7,42,42,42,49,0
59,59,100.0,204.545,1636,59,59,16,3,43,43,43,46,13
55,55,100.0,129.524,1166,55,55,18,4,37,37,37,41,14
50,50,100.0,224.0,1680,50,50,15,2,35,35,35,37,13
46,46,100.0,0.0,0,46,46,10,10,36,36,36,46,0
48,41,85.417,116.571,2040,48,48,13,13,35,28,28,41,0
52,46,88.462,76.028,1635,52,52,9,9,43,37,37,46,0
43,43,100.0,0.0,0,43,43,10,10,33,33,33,43,0
44,37,84.091,125.315,2068,44,44,11,11,33,26,26,37,0
53,47,88.679,71.919,1532,53,51,12,12,39,35,35,47,0
50,44,88.0,78.378,1581,50,49,10,10,39,34,34,44,0
44,44,100.0,0.0,0,44,44,11,11,33,33,33,44,0
45,45,100.0,0.0,0,45,45,7,7,38,38,38,45,0
47,42,89.362,70.813,1345,47,47,9,9,38,33,33,42,0
57,50,87.719,80.244,1926,57,57,9,9,48,41,41,50,0
54,40,74.074,211.957,4769,54,54,9,9,45,31,31,40,0
46,40,86.957,93.333,1680,46,46,10,10,36,30,30,40,0
42,41,97.619,30.0,240,42,42,16,15,26,26,26,41,0
53,53,100.0,0.0,0,53,53,13,13,40,40,40,53,0
58,57,98.276,26.667,240,58,58,18,17,40,40,40,57,0
56,56,100.0,0.0,0,56,56,13,13,43,43,43,56,0
55,50,90.909,65.041,1333,55,55,14,14,41,36,36,50,0
53,53,100.0,0.0,0,53,53,13,13,40,40,40,53,0
46,46,100.0,0.0,0,46,46,14,14,32,32,32,46,0
60,57,95.0,33.524,754,60,60,15,15,45,42,42,57,0
54,49,90.741,48.073,1298,54,54,11,11,43,43,43,49,0
48,47,97.917,12.308,240,48,48,9,9,39,38,38,47,0
47,47,100.0,0.0,0,47,47,13,13,34,34,34,47,0
61,52,85.246,81.715,2492,61,52,12,12,40,40,40,52,0
43,43,100.0,96.807,823,43,43,17,5,26,26,26,31,12
60,48,80.0,156.667,3760,60,60,12,12,48,36,36,48,0
52,50,96.154,24.632,493,52,52,12,12,40,38,38,50,0
55,55,100.0,112.0,840,55,55,15,4,40,40,40,44,11
53,45,84.906,120.695,2874,53,53,14,6,39,31,31,37,8
58,58,100.0,245.538,2455,58,58,20,3,38,38,38,41,17
57,47,82.456,117.6,2940,57,57,7,7,50,40,40,47,0
37,37,100.0,0.0,0,37,37,7,7,30,30,30,37,0
46,46,100.0,162.909,1222,46,46,15,3,31,31,31,34,12
50,50,100.0,96.807,823,50,50,17,5,33,33,33,38,12
41,41,100.0,0.0,0,41,41,7,7,34,34,34,41,0
47,47,100.0,0.0,0,47,47,12,12,35,35,35,47,0
51,51,100.0,0.0,0,51,51,17,17,34,34,34,51,0
37,37,100.0,0.0,0,37,37,9,9,28,28,28,37,0
56,46,82.143,126.97,2984,56,56,9,9,47,37,37,46,0
55,47,85.455,101.477,2283,55,55,10,10,45,37,37,47,0
51,51,100.0,0.0,0,51,51,11,11,40,40,40,51,0
48,48,100.0,0.0,0,48,48,10,10,38,38,38,48,0
66,57,86.364,89.6,2480,66,66,16,15,50,42,42,57,0
49,48,97.959,14.118,240,49,49,15,15,34,33,33,48,0
60,57,95.0,150.0,1955,60,60,16,4,44,41,41,45,12
44,42,95.455,30.029,495,44,44,11,11,33,31,31,42,0
41,41,100.0,0.0,0,41,41,8,8,33,33,33,41,0
55,47,85.455,107.163,2304,55,55,12,12,43,35,35,47,0
55,54,98.182,105.534,1063,55,54,17,5,37,37,37,42,12
55,54,98.182,25.263,240,55,55,19,18,36,36,36,54,0
47,43,91.489,56.609,1047,47,47,10,10,37,33,33,43,0
53,49,92.453,46.909,1032,53,53,9,9,44,40,40,49,0
57,53,92.982,82.081,1259,57,57,11,7,46,46,46,49,4
53,45,84.906,117.0,2340,53,53,13,13,40,32,32,45,0
45,45,100.0,0.0,0,45,45,6,6,39,39,39,45,0
48,48,100.0,0.0,0,48,48,14,14,34,34,34,48,0
62,51,82.258,101.86,3158,62,51,7,7,44,44,44,51,0
60,55,91.667,50.6,1243,60,58,14,14,44,41,41,55,0
60,50,83.333,123.684,2968,60,60,12,12,48,38,38,50,0
69,52,75.362,164.957,4704,69,60,12,12,48,40,40,52,0
44,44,100.0,0.0,0,44,44,14,14,30,30,30,44,0
46,46,100.0,36.923,240,46,46,13,10,33,33,33,43,3
52,52,100.0,0.0,0,52,52,14,14,38,38,38,52,0
54,54,100.0,0.0,0,54,54,17,17,37,37,37,54,0
56,49,87.5,88.747,1952,56,56,12,12,44,37,37,49,0
47,47,100.0,0.0,0,47,47,10,10,37,37,37,47,0
45,45,100.0,0.0,0,45,45,5,5,40,40,40,45,0
44,44,100.0,0.0,0,44,44,10,10,34,34,34,44,0
50,47,94.0,41.208,762,50,50,13,13,37,34,34,47,0
52,45,86.538,80.823,1789,52,49,9,9,40,36,36,45,0
40,40,100.0,0.0,0,40,40,12,12,28,28,28,40,0
62,57,91.935,49.266,1242,62,60,15,15,45,42,42,57,0
37,37,100.0,0.0,0,37,37,8,8,29,29,29,37,0
51,51,100.0,0.0,0,51,51,15,15,36,36,36,51,0
47,46,97.872,13.714,240,47,47,12,12,35,34,34,46,0
45,45,100.0,0.0,0,45,45,11,11,34,34,34,45,0
50,50,100.0,0.0,0,50,50,11,11,39,39,39,50,0
47,47,100.0,0.0,0,47,47,14,14,33,33,33,47,0
39,39,100.0,0.0,0,39,39,6,6,33,33,33,39,0
30,30,100.0,0.0,0,30,30,12,12,18,18,18,30,0
41,41,100.0,0.0,0,41,41,15,15,26,26,26,41,0
65,54,83.077,279.131,5049,65,54,21,4,33,33,33,37,17
47,44,93.617,42.424,764,47,47,11,11,36,33,33,44,0
32,32,100.0,0.0,0,32,32,10,10,22,22,22,32,0
47,46,97.872,11.707,240,47,47,6,6,41,40,40,46,0
54,52,96.296,24.632,493,54,54,14,14,40,38,38,52,0
42,42,100.0,0.0,0,42,42,11,11,31,31,31,42,0
